state,county,decimalLongitude,decimalLatitude
Alabama,Autauga,-86.6429097,32.53552334
Alabama,Baldwin,-87.72487318,30.7364493
Alabama,Barbour,-85.39544329,31.86979843
Alabama,Bibb,-87.12638405,32.99864618
Alabama,Blount,-86.56797447,33.98158274
Alabama,Bullock,-85.7161886,32.1010799
Alabama,Butler,-86.68008326,31.75290566
Alabama,Calhoun,-85.82650941,33.77161833
Alabama,Chambers,-85.39279253,32.9147455
Alabama,Cherokee,-85.60383273,34.17592267
Alabama,Chilton,-86.71917408,32.84778061
Alabama,Choctaw,-88.26291027,32.01986395
Alabama,Clarke,-87.83080817,31.67704784
Alabama,Clay,-85.8605748,33.26918968
Alabama,Cleburne,-85.51883671,33.67493601
Alabama,Coffee,-85.98768972,31.4027807
Alabama,Colbert,-87.80552195,34.70078424
Alabama,Conecuh,-86.99359115,31.42951023
Alabama,Coosa,-86.24836176,32.93645414
Alabama,Covington,-86.45086249,31.24925342
Alabama,Crenshaw,-86.31346974,31.73141173
Alabama,Cullman,-86.86826378,34.13239943
Alabama,Dale,-85.6106619,31.43292345
Alabama,Dallas,-87.10646908,32.32710398
Alabama,De Kalb,-85.80384241,34.45994103
Alabama,Elmore,-86.14884765,32.59750033
Alabama,Escambia,-87.16133281,31.12731655
Alabama,Etowah,-86.03483242,34.0449578
Alabama,Fayette,-87.73870549,33.72148923
Alabama,Franklin,-87.84360007,34.44195302
Alabama,Geneva,-85.83796533,31.0954116
Alabama,Greene,-87.95157868,32.8535406
Alabama,Hale,-87.62859426,32.76355365
Alabama,Henry,-85.24316215,31.51525413
Alabama,Houston,-85.30456688,31.15385909
Alabama,Jackson,-85.99952249,34.78002186
Alabama,Jefferson,-86.89639247,33.55459592
Alabama,Lamar,-88.09638475,33.77939341
Alabama,Lauderdale,-87.65340121,34.90225116
Alabama,Lawrence,-87.31091271,34.52233688
Alabama,Lee,-85.35557218,32.60146816
Alabama,Limestone,-86.98134007,34.81035238
Alabama,Lowndes,-86.64990242,32.15492823
Alabama,Macon,-85.69247114,32.38650003
